 Total Nb of available Diagnostics: ndiagt=   194
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   167 |DFyETr01| 23 |   166 |VV      MR|mol/m^3.m^3/s   |Meridional Diffusive Flux of PCBa
   168 |DFrITr01| 23 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of PCBa (Implicit part)
   169 |AB_gTr01| 23 |       |SMR     MR|mol/m^3/s       |PCBa tendency from Adams-Bashforth
   170 |KPPgTr01| 23 |       |WM      LR|mol/m^3.m^3/s   |KPP non-local Flux of PCBa
   171 |TRAC02  | 23 |       |SMR     MR|mol/m^3         |PCBp concentration
   172 |UTRAC02 | 23 |   173 |UUr     MR|mol/m^3.m/s     |Zonal Mass-Weighted Transp of PCBp
   173 |VTRAC02 | 23 |   172 |VVr     MR|mol/m^3.m/s     |Merid Mass-Weighted Transp of PCBp
   174 |WTRAC02 | 23 |       |WM      MR|mol/m^3.m/s     |Vert  Mass-Weighted Transp of PCBp
   175 |ADVrTr02| 23 |       |WM      LR|mol/m^3.m^3/s   |Vertical   Advective Flux of PCBp
   176 |ADVxTr02| 23 |   177 |UU      MR|mol/m^3.m^3/s   |Zonal      Advective Flux of PCBp
   177 |ADVyTr02| 23 |   176 |VV      MR|mol/m^3.m^3/s   |Meridional Advective Flux of PCBp
   178 |DFrETr02| 23 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of PCBp (Explicit part)
   179 |DFxETr02| 23 |   180 |UU      MR|mol/m^3.m^3/s   |Zonal      Diffusive Flux of PCBp
   180 |DFyETr02| 23 |   179 |VV      MR|mol/m^3.m^3/s   |Meridional Diffusive Flux of PCBp
   181 |DFrITr02| 23 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of PCBp (Implicit part)
   182 |AB_gTr02| 23 |       |SMR     MR|mol/m^3/s       |PCBp tendency from Adams-Bashforth
   183 |KPPgTr02| 23 |       |WM      LR|mol/m^3.m^3/s   |KPP non-local Flux of PCBp
   184 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
   185 |PCBaSPRY|  1 |       |SM P    M1|mol/m^2/s       |PCBa seaspray
   186 |PCBaCONC|  1 |       |SM P    M1|ng/m^3          |Atmospheric PCBa concentration
   187 |PCBaEVAS|  1 |       |SM P    M1|mol/m^2/s       |PCBa evasion flux from ocean
   188 |PCBaDEPO|  1 |       |SM P    M1|mol/m^2/s       |Atmospheric PCBa deposition flux
   189 |PCBpDEPO|  1 |       |SM P    M1|mol/m^2/s       |Atmospheric PCBp deposition flux
   190 |PCBaRIVR|  1 |       |SM P    M1|mol/m^2/s       |PCBa riverine runoff
   191 |PCBpRIVR|  1 |       |SM P    M1|mol/m^2/s       |PCBp riverine runoff
   192 |PCBaPART| 23 |       |SM P    MR|mol/m^3/s       |PCBa partitioned onto particles
   193 |PCBpPART| 23 |       |SM P    MR|mol/m^3/s       |PCBp partitioned onto particles
   194 |PCBpSINK| 23 |       |SM P    MR|mol/m^2/s       |PCBp sinking flux at level bottom
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
